scientific_name,latitude,longitude,url,image_url,observed_on,phenology,year,month
Yucca jaegeriana,37.123519999,-114.0104322594,https://www.inaturalist.org/observations/305704215,https://static.inaturalist.org/photos/551224411/medium.jpg,2011-03-26,Flowering,2011,3
Yucca jaegeriana,37.087775,-113.933845,https://www.inaturalist.org/observations/5431268,https://inaturalist-open-data.s3.amazonaws.com/photos/6681034/medium.jpg,2011-04-03,Flowering,2011,4
Yucca jaegeriana,35.0123469975,-115.4711074088,https://www.inaturalist.org/observations/310409200,https://inaturalist-open-data.s3.amazonaws.com/photos/560231421/medium.jpg,2011-12-02,No Evidence of Flowering,2011,12
Yucca jaegeriana,35.4976222152,-115.0406370486,https://www.inaturalist.org/observations/117202460,https://inaturalist-open-data.s3.amazonaws.com/photos/197907059/medium.jpg,2011-03-28,No Evidence of Flowering,2011,3
Yucca jaegeriana,35.3501959417,-115.3222728129,https://www.inaturalist.org/observations/116857794,https://inaturalist-open-data.s3.amazonaws.com/photos/197290948/medium.jpg,2011-01-16,No Evidence of Flowering,2011,1
Yucca jaegeriana,35.2756750394,-115.1088210203,https://www.inaturalist.org/observations/116857791,https://inaturalist-open-data.s3.amazonaws.com/photos/197290906/medium.jpg,2011-01-16,No Evidence of Flowering,2011,1
Yucca jaegeriana,35.2781975454,-115.1242705442,https://www.inaturalist.org/observations/116857787,https://inaturalist-open-data.s3.amazonaws.com/photos/197290845/medium.jpg,2011-01-16,No Evidence of Flowering,2011,1
Yucca jaegeriana,35.4000404383,-115.3672604097,https://www.inaturalist.org/observations/116857781,https://inaturalist-open-data.s3.amazonaws.com/photos/197290781/medium.jpg,2011-01-16,No Evidence of Flowering,2011,1
Yucca jaegeriana,34.3431977938,-113.1698846928,https://www.inaturalist.org/observations/116849397,https://inaturalist-open-data.s3.amazonaws.com/photos/197275510/medium.jpg,2011-01-15,No Evidence of Flowering,2011,1
Yucca brevifolia,34.6730724724,-118.2178870507,https://www.inaturalist.org/observations/70525569,https://inaturalist-open-data.s3.amazonaws.com/photos/114669377/medium.jpg,2011-02-13,No Evidence of Flowering,2011,2
Yucca brevifolia,34.8353371846,-118.6969312294,https://www.inaturalist.org/observations/69319134,https://inaturalist-open-data.s3.amazonaws.com/photos/112464973/medium.jpeg,2011-10-02,No Evidence of Flowering,2011,10
Yucca brevifolia,33.944371217,-116.1558647786,https://www.inaturalist.org/observations/68793524,https://inaturalist-open-data.s3.amazonaws.com/photos/111480451/medium.jpeg,2011-05-01,No Evidence of Flowering,2011,5
Yucca jaegeriana,36.414565,-113.957718,https://www.inaturalist.org/observations/55641321,https://inaturalist-open-data.s3.amazonaws.com/photos/88613693/medium.jpg,2011-09-13,No Evidence of Flowering,2011,9
Yucca jaegeriana,36.541740957,-114.0208022712,https://www.inaturalist.org/observations/55640969,https://inaturalist-open-data.s3.amazonaws.com/photos/88612925/medium.jpg,2011-09-13,No Evidence of Flowering,2011,9
Yucca jaegeriana,36.579268,-113.9915510001,https://www.inaturalist.org/observations/55640679,https://inaturalist-open-data.s3.amazonaws.com/photos/88612713/medium.jpg,2011-09-13,No Evidence of Flowering,2011,9
Yucca jaegeriana,36.622179,-113.980293,https://www.inaturalist.org/observations/55638275,https://inaturalist-open-data.s3.amazonaws.com/photos/88608681/medium.jpg,2011-09-12,No Evidence of Flowering,2011,9
Yucca jaegeriana,37.0003163543,-114.0505206585,https://www.inaturalist.org/observations/41494193,https://inaturalist-open-data.s3.amazonaws.com/photos/65820997/medium.jpeg,2011-03-22,No Evidence of Flowering,2011,3
